Data,Jogo,Mercado,Probabilidade,Resultado,Perfil
2026-06-20,Mexico x África do sul,Vitória Fora,0.0,RED,⚖️ Equilibrado
2026-06-20,Coreia do sul x República Tcheca,Vitória Fora,0.0,RED,⚖️ Equilibrado
2026-06-20,Canadá x Bosnia,Vitória Fora,0.0,RED,⚖️ Equilibrado
2026-06-21,EUA x Paraguai,Under 2.5,0.9141,RED,🧱 Jogo Defensivo
2026-06-26,Catar x Suiça,Under 2.5,0.7887,GREEN,🧱 Jogo Defensivo
2026-06-26,Brasil x Marrocos,Vitória Fora,0.0,RED,⚖️ Equilibrado
2026-06-26,Haiti x Escócia,Under 2.5,0.95,GREEN,🧱 Jogo Defensivo
2026-06-26,Austrália x Turquia,Under 2.5,0.7526,GREEN,🧱 Jogo Defensivo
2026-06-26,Alemanha x Curaçao,Under 2.5,0.8937,RED,🧱 Jogo Defensivo
2026-06-26,Holanda x Japão,Vitória Fora,0.0,RED,⚖️ Equilibrado
2026-06-26,Costa do marfim x Equador,BTTS NÃO,0.6712,PENDENTE,🧱 Jogo Defensivo
