Time Casa,Time Fora,Campeonato,Mercado,Resultado,Stake R$,Odd,Lucro
Mexico,África do sul,Copa do mundo,Vitória Fora,RED,10.0,7.8,-10.0
Coreia do sul,República Tcheca,Copa do mundo,Vitória Fora,RED,10.0,3.05,-10.0
Canadá,Bosnia,Copa do mundo,Vitória Fora,RED,10.0,4.45,-10.0
EUA,Paraguai,Copa do mundo,Under 2.5,RED,10.0,1.58,-10.0
Catar,Suiça,Copa do mundo,Under 2.5,GREEN,10.0,2.15,11.5
Brasil,Marrocos,Copa do mundo,Vitória Fora,RED,10.0,5.1,-10.0
Haiti,Escócia,Copa do mundo,Under 2.5,GREEN,10.0,2.22,12.2
Austrália,Turquia,Copa do mundo,Under 2.5,GREEN,10.0,1.75,7.5
Alemanha,Curaçao,Copa do mundo,Under 2.5,RED,10.0,4.7,-10.0
Holanda,Japão,Copa do mundo,Vitória Fora,RED,10.0,3.9,-10.0
Costa do marfim,Equador,Copa do mundo,BTTS NÃO,GREEN,10.0,1.67,6.7
Suécia,Tunísia,Copa do mundo,Under 2.5,RED,10.0,1.66,-10.0
Espanha,Cabo verde,Copa do mundo,Under 2.5,GREEN,10.0,3.5,25.0
Bélgica,Egito,Copa do mundo,Vitória Fora,RED,10.0,6.1,-10.0
Arábia Saudita,Uruguai,Copa do mundo,Under 2.5,GREEN,10.0,1.71,7.1
Irã,Nova Zelândia,Copa do mundo,Vitória Fora,RED,10.0,4.5,-10.0
França,Senegal,Copa do mundo,Under 2.5,RED,10.0,2.2,-10.0
Argentina,Argélia,Copa do mundo,Vitória Fora,RED,10.0,6.3,-10.0
Iraque,Noruega,Copa do mundo,Under 2.5,RED,10.0,2.3,-10.0
Áustria,Jordânia,Copa do mundo,Under 2.5,RED,10.0,1.92,-10.0
Portugal,RD Congo,Copa do mundo,Under 2.5,GREEN,10.0,1.97,9.7
Inglaterra,Croácia,Copa do mundo,Vitória Fora,RED,10.0,5.0,-10.0
Gana,Panamá,Copa do mundo,Under 2.5,GREEN,10.0,1.68,6.8
Uzbequistão,Colômbia,Copa do mundo,Under 2.5,RED,10.0,2.12,-10.0
República tcheca,África do sul,Copa do mundo,Under 2.5,GREEN,10.0,1.68,6.8
